time/s	Ewe/V	<I>/mA	cycle number	
2.575549853981920E+005	2.2726893E+000	-4.606411457425841E-002	4.000000000000000E+000
2.575749840013215E+005	2.2716243E+000	-4.636386167911666E-002	4.000000000000000E+000
2.575949828044510E+005	2.2705991E+000	-4.662312841903271E-002	4.000000000000000E+000
2.576149790075803E+005	2.2696071E+000	-4.693135261491206E-002	4.000000000000000E+000
2.576349776107087E+005	2.2686322E+000	-4.718214031533441E-002	4.000000000000000E+000
2.576549786138381E+005	2.2676339E+000	-4.746439963289995E-002	4.000000000000000E+000
2.576749796169684E+005	2.2666237E+000	-4.774775382347116E-002	4.000000000000000E+000
2.576949780200967E+005	2.2656240E+000	-4.800279924558748E-002	4.000000000000000E+000
2.577149766232255E+005	2.2646475E+000	-4.824151576771007E-002	4.000000000000000E+000
2.577349752263539E+005	2.2636330E+000	-4.854946480659916E-002	4.000000000000000E+000
2.577549761294834E+005	2.2626538E+000	-4.882577793551116E-002	4.000000000000000E+000
2.577749770326130E+005	2.2616465E+000	-4.913184311193008E-002	4.000000000000000E+000
2.577949734357409E+005	2.2606070E+000	-4.941489432675705E-002	4.000000000000000E+000
2.578149698388698E+005	2.2596660E+000	-4.969381168957578E-002	4.000000000000000E+000
2.578349682419988E+005	2.2586036E+000	-4.996932712646804E-002	4.000000000000000E+000
2.578549692451278E+005	2.2576225E+000	-5.026165628649393E-002	4.000000000000000E+000
2.578749702482573E+005	2.2566018E+000	-5.057254469651540E-002	4.000000000000000E+000
2.578949688513865E+005	2.2555919E+000	-5.085300809709969E-002	4.000000000000000E+000
2.579149672545157E+005	2.2546020E+000	-5.114419355000069E-002	4.000000000000000E+000
2.579349658576455E+005	2.2536523E+000	-5.143249645880521E-002	4.000000000000000E+000
2.579549668607747E+005	2.2526286E+000	-5.168322766807615E-002	4.000000000000000E+000
2.579749676639035E+005	2.2516747E+000	-5.195057044798773E-002	4.000000000000000E+000
2.579949640670326E+005	2.2506537E+000	-5.226400995944058E-002	4.000000000000000E+000
2.580149604701609E+005	2.2496560E+000	-5.255443701130780E-002	4.000000000000000E+000
2.580349590732893E+005	2.2486341E+000	-5.286229084934063E-002	4.000000000000000E+000
2.580549599764189E+005	2.2476027E+000	-5.315803350295331E-002	4.000000000000000E+000
2.580749608795485E+005	2.2466521E+000	-5.344317699229761E-002	4.000000000000000E+000
2.580949594826773E+005	2.2456462E+000	-5.371943965545523E-002	4.000000000000000E+000
2.581149580858056E+005	2.2446492E+000	-5.400773120961354E-002	4.000000000000000E+000
2.581349564889346E+005	2.2436953E+000	-5.433162999333313E-002	4.000000000000000E+000
2.581549574920647E+005	2.2426109E+000	-5.464325556858629E-002	4.000000000000000E+000
2.581749584951936E+005	2.2416241E+000	-5.491948801482432E-002	4.000000000000000E+000
2.581949547983225E+005	2.2406056E+000	-5.523404939240756E-002	4.000000000000000E+000
2.582149511014521E+005	2.2396529E+000	-5.548735426405343E-002	4.000000000000000E+000
2.582349521045816E+005	2.2386408E+000	-5.575389837826789E-002	4.000000000000000E+000
2.582549531077106E+005	2.2376816E+000	-5.608669010600509E-002	4.000000000000000E+000
2.582749515108399E+005	2.2366374E+000	-5.638746363462355E-002	4.000000000000000E+000
2.582949501139696E+005	2.2356966E+000	-5.669916280824594E-002	4.000000000000000E+000
2.583149487170991E+005	2.2346802E+000	-5.700571847843489E-002	4.000000000000000E+000
2.583349497202274E+005	2.2336650E+000	-5.729613410555157E-002	4.000000000000000E+000
2.583549505233569E+005	2.2326419E+000	-5.758438282751743E-002	4.000000000000000E+000
2.583749491264867E+005	2.2316277E+000	-5.789211732854094E-002	4.000000000000000E+000
2.583949455296146E+005	2.2306461E+000	-5.819434466642370E-002	4.000000000000000E+000
2.584149419327416E+005	2.2296276E+000	-5.849857883398779E-002	4.000000000000000E+000
2.584349427358718E+005	2.2286751E+000	-5.880082478024529E-002	4.000000000000000E+000
2.584549437390012E+005	2.2276564E+000	-5.912628851352703E-002	4.000000000000000E+000
2.584749423421295E+005	2.2266200E+000	-5.935487817353730E-002	4.000000000000000E+000
2.584949409452584E+005	2.2256727E+000	-5.966496263056853E-002	4.000000000000000E+000
2.585149393483882E+005	2.2246711E+000	-6.000047348825799E-002	4.000000000000000E+000
2.585349403515172E+005	2.2236843E+000	-6.031647890321556E-002	4.000000000000000E+000
2.585549413546459E+005	2.2226424E+000	-6.063018463401715E-002	4.000000000000000E+000
2.585749397577757E+005	2.2216606E+000	-6.093699974916245E-002	4.000000000000000E+000
2.585949361609054E+005	2.2205935E+000	-6.125628399968708E-002	4.000000000000000E+000
2.586149325640351E+005	2.2196357E+000	-6.155770227242341E-002	4.000000000000000E+000
2.586349335671635E+005	2.2186413E+000	-6.185916999650143E-002	4.000000000000000E+000
2.586549343702935E+005	2.2176642E+000	-6.216444312540026E-002	4.000000000000000E+000
2.586749329734230E+005	2.2166650E+000	-6.249353029085269E-002	4.000000000000000E+000
2.586949315765514E+005	2.2156260E+000	-6.277410173683262E-002	4.000000000000000E+000
2.587149301796798E+005	2.2146840E+000	-6.308879224712505E-002	4.000000000000000E+000
2.587349309828100E+005	2.2136338E+000	-6.332468955500759E-002	4.000000000000000E+000
2.587549319859394E+005	2.2126129E+000	-6.367962797151910E-002	4.000000000000000E+000
2.587749305890673E+005	2.2116506E+000	-6.398888807424108E-002	4.000000000000000E+000
2.587949268921949E+005	2.2106626E+000	-6.432481095098437E-002	4.000000000000000E+000
2.588149255953240E+005	2.2096705E+000	-6.463580886862075E-002	4.000000000000000E+000
2.588349265984530E+005	2.2086818E+000	-6.496291162106083E-002	4.000000000000000E+000
2.588549252015818E+005	2.2076306E+000	-6.527586816040953E-002	4.000000000000000E+000
2.588749236047117E+005	2.2066321E+000	-6.558197854549586E-002	4.000000000000000E+000
2.588949222078410E+005	2.2056265E+000	-6.589326998925545E-002	4.000000000000000E+000
2.589149232109698E+005	2.2046313E+000	-6.621510999145297E-002	4.000000000000000E+000
2.589349242140993E+005	2.2036076E+000	-6.652943748750809E-002	4.000000000000000E+000
2.589549226172287E+005	2.2026768E+000	-6.685808715150876E-002	4.000000000000000E+000
2.589749212203579E+005	2.2016604E+000	-6.716643326179955E-002	4.000000000000000E+000
2.589949176234873E+005	2.2006812E+000	-6.742919027019822E-002	4.000000000000000E+000
2.590149163266164E+005	2.1996531E+000	-6.776480353222417E-002	4.000000000000000E+000
2.590349172297465E+005	2.1986401E+000	-6.810387229916415E-002	4.000000000000000E+000
2.590549158328748E+005	2.1975994E+000	-6.843461191173483E-002	4.000000000000000E+000
2.590749144360032E+005	2.1966560E+000	-6.874601770917566E-002	4.000000000000000E+000
2.590949128391319E+005	2.1956480E+000	-6.909042350766836E-002	4.000000000000000E+000
2.591149138422618E+005	2.1946073E+000	-6.956110366719837E-002	4.000000000000000E+000
2.591349148453912E+005	2.1936014E+000	-6.984804264672051E-002	4.000000000000000E+000
2.591549134485200E+005	2.1925967E+000	-7.012706473127062E-002	4.000000000000000E+000
2.591749118516482E+005	2.1916513E+000	-7.042382519377599E-002	4.000000000000000E+000
2.591949082547766E+005	2.1906509E+000	-7.073393196533595E-002	4.000000000000000E+000
2.592149070579062E+005	2.1896484E+000	-7.105331751319977E-002	4.000000000000000E+000
2.592349080610357E+005	2.1886370E+000	-7.134818173494839E-002	4.000000000000000E+000
2.592549064641649E+005	2.1876471E+000	-7.162369314168315E-002	4.000000000000000E+000
2.592749050672941E+005	2.1866245E+000	-7.197199737128143E-002	4.000000000000000E+000
2.592949036704237E+005	2.1856549E+000	-7.227544023123422E-002	4.000000000000000E+000
2.593149045735530E+005	2.1846330E+000	-7.262159604009755E-002	4.000000000000000E+000
2.593349054766818E+005	2.1836684E+000	-7.294915851122319E-002	4.000000000000000E+000
2.593549040798112E+005	2.1826077E+000	-7.327121316560492E-002	4.000000000000000E+000
2.593749026829412E+005	2.1816058E+000	-7.356845462738981E-002	4.000000000000000E+000
2.593949013860687E+005	2.1806519E+000	-7.390921614147855E-002	4.000000000000000E+000
2.594148976891981E+005	2.1796401E+000	-7.422829863736702E-002	4.000000000000000E+000
2.594348986923271E+005	2.1786418E+000	-7.456884364952376E-002	4.000000000000000E+000
2.594548972954559E+005	2.1776068E+000	-7.487426558580068E-002	4.000000000000000E+000
2.594748956985842E+005	2.1766024E+000	-7.521012493054979E-002	4.000000000000000E+000
2.594948967017131E+005	2.1756139E+000	-7.548781574188723E-002	4.000000000000000E+000
2.595148977048439E+005	2.1746397E+000	-7.577901274794596E-002	4.000000000000000E+000
2.595348961079721E+005	2.1736372E+000	-7.616295753206676E-002	4.000000000000000E+000
2.595548947111000E+005	2.1725996E+000	-7.647920128533237E-002	4.000000000000000E+000
2.595748933142296E+005	2.1716447E+000	-7.681546188409938E-002	4.000000000000000E+000
2.595948921173594E+005	2.1706545E+000	-7.715764772159905E-002	4.000000000000000E+000
2.596148907204884E+005	2.1696339E+000	-7.746665358130678E-002	4.000000000000000E+000
2.596348893236177E+005	2.1686153E+000	-7.783823988078598E-002	4.000000000000000E+000
2.596548879267473E+005	2.1676419E+000	-7.815875021615132E-002	4.000000000000000E+000
2.596748865298769E+005	2.1666327E+000	-7.848142902934430E-002	4.000000000000000E+000
2.596948873330054E+005	2.1656542E+000	-7.884024214870367E-002	4.000000000000000E+000
2.597148883361348E+005	2.1646135E+000	-7.914154686824659E-002	4.000000000000000E+000
2.597348869392648E+005	2.1636341E+000	-7.946671278169903E-002	4.000000000000000E+000
2.597548855423937E+005	2.1626210E+000	-7.973715169808471E-002	4.000000000000000E+000
2.597748839455219E+005	2.1616004E+000	-8.005562609643935E-002	4.000000000000000E+000
2.597948827486504E+005	2.1605985E+000	-8.042618845084171E-002	4.000000000000000E+000
2.598148815517793E+005	2.1596439E+000	-8.075543463047016E-002	4.000000000000000E+000
2.598348799549076E+005	2.1586266E+000	-8.110430733370821E-002	4.000000000000000E+000
2.598548785580364E+005	2.1576090E+000	-8.143499261312348E-002	4.000000000000000E+000
2.598748771611662E+005	2.1566043E+000	-8.175281146960312E-002	4.000000000000000E+000
2.598948781642953E+005	2.1555963E+000	-8.208137793283282E-002	4.000000000000000E+000
2.599148789674239E+005	2.1546571E+000	-8.242192107021042E-002	4.000000000000000E+000
2.599348775705539E+005	2.1536407E+000	-8.275440009681989E-002	4.000000000000000E+000
2.599548761736833E+005	2.1526353E+000	-8.310046334083521E-002	4.000000000000000E+000
2.599748747768126E+005	2.1516359E+000	-8.342688437897350E-002	4.000000000000000E+000
