time/s	Ewe/V	x	Q discharge/mA.h	Q charge/mA.h	
2,495073936969129E+003	3,0016840E+000	9,781414218608405E-001	0,000000000000000E+000	4,609135577032180E-002
2,505073936716508E+003	3,0018940E+000	9,779561854699398E-001	0,000000000000000E+000	4,648194825718265E-002
2,515073936463887E+003	3,0017221E+000	9,777709501590810E-001	0,000000000000000E+000	4,687253846664937E-002
2,525073936211265E+003	3,0018368E+000	9,775857147377760E-001	0,000000000000000E+000	4,726312890900468E-002
2,535073935958644E+003	3,0016267E+000	9,774004776568023E-001	0,000000000000000E+000	4,765372285096475E-002
2,545073935706023E+003	3,0021613E+000	9,772152397837888E-001	0,000000000000000E+000	4,804431846303289E-002
2,555073935453402E+003	3,0025814E+000	9,770300026721600E-001	0,000000000000000E+000	4,843491246963254E-002
2,565073935200780E+003	3,0027721E+000	9,768447659464435E-001	0,000000000000000E+000	4,882550566249137E-002
2,575073934948159E+003	3,0026386E+000	9,766595296814382E-001	0,000000000000000E+000	4,921609788388720E-002
2,585073934695538E+003	3,0026004E+000	9,764742955666019E-001	0,000000000000000E+000	4,960668557140110E-002
2,595073934442917E+003	3,0024667E+000	9,762890625536104E-001	0,000000000000000E+000	4,999727093554746E-002
2,605073934190295E+003	3,0028296E+000	9,761038267191248E-001	0,000000000000000E+000	5,038786224914221E-002
2,615073933937674E+003	3,0026767E+000	9,759185894932958E-001	0,000000000000000E+000	5,077845649654628E-002
2,625073933685053E+003	3,0029249E+000	9,757333528662063E-001	0,000000000000000E+000	5,116904948143870E-002
2,635073933432432E+003	3,0028868E+000	9,755481154377909E-001	0,000000000000000E+000	5,155964415602016E-002
2,645073933179810E+003	3,0032494E+000	9,753628796639183E-001	0,000000000000000E+000	5,195023534180516E-002
2,655073932927189E+003	3,0031159E+000	9,751776436115991E-001	0,000000000000000E+000	5,234082711472737E-002
2,665073932674568E+003	3,0029821E+000	9,749924076251923E-001	0,000000000000000E+000	5,273141874866562E-002
2,675073932421947E+003	3,0030587E+000	9,748071735157253E-001	0,000000000000000E+000	5,312200642485794E-002
2,685073932169325E+003	3,0029249E+000	9,746219394226980E-001	0,000000000000000E+000	5,351259406638519E-002
2,695073931916704E+003	3,0032113E+000	9,744367051101164E-001	0,000000000000000E+000	5,390318217086835E-002
2,705073931664083E+003	3,0031731E+000	9,742514688465621E-001	0,000000000000000E+000	5,429377438920448E-002
2,715073931411462E+003	3,0032878E+000	9,740662340983792E-001	0,000000000000000E+000	5,468436341220349E-002
2,725073931158840E+003	3,0032113E+000	9,738810013504259E-001	0,000000000000000E+000	5,507494821748594E-002
2,735073930906219E+003	3,0031731E+000	9,736957676474158E-001	0,000000000000000E+000	5,546553503661645E-002
2,745073930653598E+003	3,0031731E+000	9,735105332205315E-001	0,000000000000000E+000	5,585612338212009E-002
2,755073930400977E+003	3,0031922E+000	9,733253000216497E-001	0,000000000000000E+000	5,624670913823736E-002
